turn,lang,lang_id,rule_desc,ce_query,conf_context,zslow_rule_l1,zslow_think_l1,zlang_norm,mem_items
270,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,273
271,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,274
272,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,275
273,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,276
274,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,277
275,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,278
276,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,279
277,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,280
278,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,281
279,base,0,base: sort tokens by length ascending,2.9406,0.3598,7.8984,16.4174,11.5183,282
280,en,1,en: keep tokens containing at least two vowels,0.3014,0.4384,4.6891,8.8538,10.8949,283
281,en,1,en: reverse tokens then uppercase every 2nd token,3.7936,0.3266,4.5161,10.4673,10.8949,284
282,en,1,en: dedupe tokens then wrap digits with [],2.9901,0.3604,3.2422,7.4321,10.8949,285
283,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4943,0.381,4.0776,7.8918,10.8949,286
284,base,0,base: add << >> then sort numeric tokens descending,2.7224,0.3722,3.7816,7.5752,11.5183,287
285,en,1,en: append #index (1-based) to each token,4.7287,0.2766,3.4768,7.1612,10.8949,288
286,en,1,en: build acronym and append token count,4.3471,0.3009,4.6212,9.2944,10.8949,289
287,base,0,base: evaluate arithmetic expression,3.4536,0.3473,4.4917,9.246,11.5183,290
288,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.6928,0.3286,4.1103,7.1899,11.5183,291
289,base,0,base: factorial -> return n!,2.4615,0.3635,6.5088,8.3265,11.5183,292
290,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,293
291,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,294
292,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,295
293,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,296
294,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,297
295,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,298
296,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,299
297,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,300
298,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,301
299,base,0,base: sort tokens by length ascending,2.9406,0.3598,7.8984,16.4174,11.5183,302
300,en,1,en: keep tokens containing at least two vowels,0.3014,0.4384,4.6891,8.8538,10.8949,303
301,en,1,en: reverse tokens then uppercase every 2nd token,3.7936,0.3266,4.5161,10.4673,10.8949,304
302,en,1,en: dedupe tokens then wrap digits with [],2.9901,0.3604,3.2422,7.4321,10.8949,305
303,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4943,0.381,4.0776,7.8918,10.8949,306
304,base,0,base: add << >> then sort numeric tokens descending,2.7224,0.3722,3.7816,7.5752,11.5183,307
305,en,1,en: append #index (1-based) to each token,4.7287,0.2766,3.4768,7.1612,10.8949,308
306,en,1,en: build acronym and append token count,4.3471,0.3009,4.6212,9.2944,10.8949,309
307,base,0,base: evaluate arithmetic expression,3.4536,0.3473,4.4917,9.246,11.5183,310
308,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.6928,0.3286,4.1103,7.1899,11.5183,311
309,base,0,base: factorial -> return n!,2.4615,0.3635,6.5088,8.3265,11.5183,312
310,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,313
311,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,314
312,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,315
313,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,316
314,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,317
315,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,318
316,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,319
317,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,320
318,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,321
319,base,0,base: sort tokens by length ascending,2.9406,0.3598,7.8984,16.4174,11.5183,322
320,en,1,en: keep tokens containing at least two vowels,0.3014,0.4384,4.6891,8.8538,10.8949,323
321,en,1,en: reverse tokens then uppercase every 2nd token,3.7936,0.3266,4.5161,10.4673,10.8949,324
322,en,1,en: dedupe tokens then wrap digits with [],2.9901,0.3604,3.2422,7.4321,10.8949,325
323,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4943,0.381,4.0776,7.8918,10.8949,326
324,base,0,base: add << >> then sort numeric tokens descending,2.7224,0.3722,3.7816,7.5752,11.5183,327
325,en,1,en: append #index (1-based) to each token,4.7287,0.2766,3.4768,7.1612,10.8949,328
326,en,1,en: build acronym and append token count,4.3471,0.3009,4.6212,9.2944,10.8949,329
327,base,0,base: evaluate arithmetic expression,3.4536,0.3473,4.4917,9.246,11.5183,330
328,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.6928,0.3286,4.1103,7.1899,11.5183,331
329,base,0,base: factorial -> return n!,2.4615,0.3635,6.5088,8.3265,11.5183,332
330,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,333
331,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,334
332,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,335
333,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,336
334,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,337
335,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,338
336,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,339
337,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,340
338,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,341
339,base,0,base: sort tokens by length ascending,2.9406,0.3598,7.8984,16.4174,11.5183,342
340,en,1,en: keep tokens containing at least two vowels,0.3014,0.4384,4.6891,8.8538,10.8949,343
341,en,1,en: reverse tokens then uppercase every 2nd token,3.7936,0.3266,4.5161,10.4673,10.8949,344
342,en,1,en: dedupe tokens then wrap digits with [],2.9901,0.3604,3.2422,7.4321,10.8949,345
343,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4943,0.381,4.0776,7.8918,10.8949,346
344,base,0,base: add << >> then sort numeric tokens descending,2.7224,0.3722,3.7816,7.5752,11.5183,347
345,en,1,en: append #index (1-based) to each token,4.7287,0.2766,3.4768,7.1612,10.8949,348
346,en,1,en: build acronym and append token count,4.3471,0.3009,4.6212,9.2944,10.8949,349
347,base,0,base: evaluate arithmetic expression,3.4536,0.3473,4.4917,9.246,11.5183,350
348,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.6928,0.3286,4.1103,7.1899,11.5183,351
349,base,0,base: factorial -> return n!,2.4615,0.3635,6.5088,8.3265,11.5183,352
350,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,353
351,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,354
352,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,355
353,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,356
354,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,357
355,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,358
356,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,359
357,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,360
358,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,361
359,base,0,base: sort tokens by length ascending,2.9406,0.3598,7.8984,16.4174,11.5183,362
360,en,1,en: keep tokens containing at least two vowels,0.3014,0.4384,4.6891,8.8538,10.8949,363
361,en,1,en: reverse tokens then uppercase every 2nd token,3.7936,0.3266,4.5161,10.4673,10.8949,364
362,en,1,en: dedupe tokens then wrap digits with [],2.9901,0.3604,3.2422,7.4321,10.8949,365
363,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4943,0.381,4.0776,7.8918,10.8949,366
364,base,0,base: add << >> then sort numeric tokens descending,2.7224,0.3722,3.7816,7.5752,11.5183,367
365,en,1,en: append #index (1-based) to each token,4.7287,0.2766,3.4768,7.1612,10.8949,368
366,en,1,en: build acronym and append token count,4.3471,0.3009,4.6212,9.2944,10.8949,369
367,base,0,base: evaluate arithmetic expression,3.4536,0.3473,4.4917,9.246,11.5183,370
368,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.6928,0.3286,4.1103,7.1899,11.5183,371
369,base,0,base: factorial -> return n!,2.4615,0.3635,6.5088,8.3265,11.5183,372
370,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,373
371,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,374
372,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,375
373,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,376
374,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,377
375,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,378
376,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,379
377,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,380
378,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,381
379,base,0,base: sort tokens by length ascending,2.9406,0.3598,7.8984,16.4174,11.5183,382
380,en,1,en: keep tokens containing at least two vowels,0.3014,0.4384,4.6891,8.8538,10.8949,383
381,en,1,en: reverse tokens then uppercase every 2nd token,3.7936,0.3266,4.5161,10.4673,10.8949,384
382,en,1,en: dedupe tokens then wrap digits with [],2.9901,0.3604,3.2422,7.4321,10.8949,385
383,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4943,0.381,4.0776,7.8918,10.8949,386
384,base,0,base: add << >> then sort numeric tokens descending,2.7224,0.3722,3.7816,7.5752,11.5183,387
385,en,1,en: append #index (1-based) to each token,4.7287,0.2766,3.4768,7.1612,10.8949,388
386,en,1,en: build acronym and append token count,4.3471,0.3009,4.6212,9.2944,10.8949,389
387,base,0,base: evaluate arithmetic expression,3.4536,0.3473,4.4917,9.246,11.5183,390
388,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.6928,0.3286,4.1103,7.1899,11.5183,391
389,base,0,base: factorial -> return n!,2.4615,0.3635,6.5088,8.3265,11.5183,392
390,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,393
391,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,394
392,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,395
393,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,396
394,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,397
395,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,398
396,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,399
397,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,400
398,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,401
399,base,0,base: sort tokens by length ascending,2.9406,0.3598,7.8984,16.4174,11.5183,402
400,en,1,en: keep tokens containing at least two vowels,0.3014,0.4384,4.6891,8.8538,10.8949,403
401,en,1,en: reverse tokens then uppercase every 2nd token,3.7936,0.3266,4.5161,10.4673,10.8949,404
402,en,1,en: dedupe tokens then wrap digits with [],2.9901,0.3604,3.2422,7.4321,10.8949,405
403,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4943,0.381,4.0776,7.8918,10.8949,406
404,base,0,base: add << >> then sort numeric tokens descending,2.7224,0.3722,3.7816,7.5752,11.5183,407
405,en,1,en: append #index (1-based) to each token,4.7287,0.2766,3.4768,7.1612,10.8949,408
406,en,1,en: build acronym and append token count,4.3471,0.3009,4.6212,9.2944,10.8949,409
407,base,0,base: evaluate arithmetic expression,3.4536,0.3473,4.4917,9.246,11.5183,410
408,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.6928,0.3286,4.1103,7.1899,11.5183,411
409,base,0,base: factorial -> return n!,2.4615,0.3635,6.5088,8.3265,11.5183,412
410,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,413
411,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,414
412,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,415
413,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,416
414,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,417
415,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,418
416,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,419
417,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,420
418,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,421
419,base,0,base: sort tokens by length ascending,2.9406,0.3598,7.8984,16.4174,11.5183,422
420,en,1,en: keep tokens containing at least two vowels,0.3014,0.4384,4.6891,8.8538,10.8949,423
421,en,1,en: reverse tokens then uppercase every 2nd token,3.7936,0.3266,4.5161,10.4673,10.8949,424
422,en,1,en: dedupe tokens then wrap digits with [],2.9901,0.3604,3.2422,7.4321,10.8949,425
423,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4943,0.381,4.0776,7.8918,10.8949,426
424,base,0,base: add << >> then sort numeric tokens descending,2.7224,0.3722,3.7816,7.5752,11.5183,427
425,en,1,en: append #index (1-based) to each token,4.7287,0.2766,3.4768,7.1612,10.8949,428
426,en,1,en: build acronym and append token count,4.3471,0.3009,4.6212,9.2944,10.8949,429
427,base,0,base: evaluate arithmetic expression,3.4536,0.3473,4.4917,9.246,11.5183,430
428,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.6928,0.3286,4.1103,7.1899,11.5183,431
429,base,0,base: factorial -> return n!,2.4615,0.3635,6.5088,8.3265,11.5183,432
430,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,433
431,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,434
432,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,435
433,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,436
434,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,437
435,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,438
436,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,439
437,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,440
438,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,441
439,base,0,base: sort tokens by length ascending,2.9406,0.3598,7.8984,16.4174,11.5183,442
440,en,1,en: keep tokens containing at least two vowels,0.3014,0.4384,4.6891,8.8538,10.8949,443
441,en,1,en: reverse tokens then uppercase every 2nd token,3.7936,0.3266,4.5161,10.4673,10.8949,444
442,en,1,en: dedupe tokens then wrap digits with [],2.9901,0.3604,3.2422,7.4321,10.8949,445
443,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4943,0.381,4.0776,7.8918,10.8949,446
444,base,0,base: add << >> then sort numeric tokens descending,2.7224,0.3722,3.7816,7.5752,11.5183,447
445,en,1,en: append #index (1-based) to each token,4.7287,0.2766,3.4768,7.1612,10.8949,448
446,en,1,en: build acronym and append token count,4.3471,0.3009,4.6212,9.2944,10.8949,449
447,base,0,base: evaluate arithmetic expression,3.4536,0.3473,4.4917,9.246,11.5183,450
448,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.6928,0.3286,4.1103,7.1899,11.5183,451
449,base,0,base: factorial -> return n!,2.4615,0.3635,6.5088,8.3265,11.5183,452
450,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,453
451,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,454
452,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,455
453,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,456
454,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,457
455,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,458
456,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,459
457,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,460
458,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,461
459,base,0,base: sort tokens by length ascending,2.9406,0.3598,7.8984,16.4174,11.5183,462
460,en,1,en: keep tokens containing at least two vowels,0.3014,0.4384,4.6891,8.8538,10.8949,463
461,en,1,en: reverse tokens then uppercase every 2nd token,3.7936,0.3266,4.5161,10.4673,10.8949,464
462,en,1,en: dedupe tokens then wrap digits with [],2.9901,0.3604,3.2422,7.4321,10.8949,465
463,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4943,0.381,4.0776,7.8918,10.8949,466
464,base,0,base: add << >> then sort numeric tokens descending,2.7224,0.3722,3.7816,7.5752,11.5183,467
465,en,1,en: append #index (1-based) to each token,4.7287,0.2766,3.4768,7.1612,10.8949,468
466,en,1,en: build acronym and append token count,4.3471,0.3009,4.6212,9.2944,10.8949,469
467,base,0,base: evaluate arithmetic expression,3.4536,0.3473,4.4917,9.246,11.5183,470
468,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.6928,0.3286,4.1103,7.1899,11.5183,471
469,base,0,base: factorial -> return n!,2.4615,0.3635,6.5088,8.3265,11.5183,472
470,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,473
471,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,474
472,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,475
473,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,476
474,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,477
475,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,478
476,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,479
477,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,480
478,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,481
479,base,0,base: sort tokens by length ascending,2.9406,0.3598,7.8984,16.4174,11.5183,482
480,en,1,en: keep tokens containing at least two vowels,0.3014,0.4384,4.6891,8.8538,10.8949,483
481,en,1,en: reverse tokens then uppercase every 2nd token,3.7936,0.3266,4.5161,10.4673,10.8949,484
482,en,1,en: dedupe tokens then wrap digits with [],2.9901,0.3604,3.2422,7.4321,10.8949,485
483,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4943,0.381,4.0776,7.8918,10.8949,486
484,base,0,base: add << >> then sort numeric tokens descending,2.7224,0.3722,3.7816,7.5752,11.5183,487
485,en,1,en: append #index (1-based) to each token,4.7287,0.2766,3.4768,7.1612,10.8949,488
486,en,1,en: build acronym and append token count,4.3471,0.3009,4.6212,9.2944,10.8949,489
487,base,0,base: evaluate arithmetic expression,3.4536,0.3473,4.4917,9.246,11.5183,490
488,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.6928,0.3286,4.1103,7.1899,11.5183,491
489,base,0,base: factorial -> return n!,2.4615,0.3635,6.5088,8.3265,11.5183,492
490,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,493
491,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,494
492,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,495
493,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,496
494,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,497
495,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,498
496,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,499
497,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,500
498,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,501
499,base,0,base: sort tokens by length ascending,2.9406,0.3598,7.8984,16.4174,11.5183,502
500,en,1,en: keep tokens containing at least two vowels,0.3014,0.4384,4.6891,8.8538,10.8949,503
501,en,1,en: reverse tokens then uppercase every 2nd token,3.7936,0.3266,4.5161,10.4673,10.8949,504
502,en,1,en: dedupe tokens then wrap digits with [],2.9901,0.3604,3.2422,7.4321,10.8949,505
503,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4943,0.381,4.0776,7.8918,10.8949,506
504,base,0,base: add << >> then sort numeric tokens descending,2.7224,0.3722,3.7816,7.5752,11.5183,507
505,en,1,en: append #index (1-based) to each token,4.7287,0.2766,3.4768,7.1612,10.8949,508
506,en,1,en: build acronym and append token count,4.3471,0.3009,4.6212,9.2944,10.8949,509
507,base,0,base: evaluate arithmetic expression,3.4536,0.3473,4.4917,9.246,11.5183,510
508,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.6928,0.3286,4.1103,7.1899,11.5183,511
509,base,0,base: factorial -> return n!,2.4615,0.3635,6.5088,8.3265,11.5183,512
510,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,513
511,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,514
512,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,515
513,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,516
514,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,517
515,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,518
516,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,519
517,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,520
518,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,521
519,base,0,base: sort tokens by length ascending,2.9406,0.3598,7.8984,16.4174,11.5183,522
520,en,1,en: keep tokens containing at least two vowels,0.3014,0.4384,4.6891,8.8538,10.8949,523
521,en,1,en: reverse tokens then uppercase every 2nd token,3.7936,0.3266,4.5161,10.4673,10.8949,524
522,en,1,en: dedupe tokens then wrap digits with [],2.9901,0.3604,3.2422,7.4321,10.8949,525
523,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4943,0.381,4.0776,7.8918,10.8949,526
524,base,0,base: add << >> then sort numeric tokens descending,2.7224,0.3722,3.7816,7.5752,11.5183,527
525,en,1,en: append #index (1-based) to each token,4.7287,0.2766,3.4768,7.1612,10.8949,528
526,en,1,en: build acronym and append token count,4.3471,0.3009,4.6212,9.2944,10.8949,529
527,base,0,base: evaluate arithmetic expression,3.4536,0.3473,4.4917,9.246,11.5183,530
528,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.6928,0.3286,4.1103,7.1899,11.5183,531
529,base,0,base: factorial -> return n!,2.4615,0.3635,6.5088,8.3265,11.5183,532
530,base,0,base: range -> output span between max and min,4.1893,0.3,5.7958,8.2423,11.5183,533
531,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0286,0.2615,9.2188,14.9556,11.4583,534
532,ko,2,ko: 날짜를 ISO 형태로 변환,1.2962,0.4059,8.8508,14.917,11.4583,535
533,ko,2,ko: 숫자를 괄호로 감싸기,4.6941,0.276,10.7169,18.1463,11.4583,536
534,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4236,0.3015,11.4657,19.8226,11.4583,537
535,ja,3,ja: ひらがな を カタカナ に 変換,1.2995,0.4484,8.6864,14.8309,11.3929,538
536,ja,3,ja: カタカナ を ひらがな に 変換,1.7198,0.4123,6.523,12.5118,11.3929,539
537,ja,3,ja: 半角数字 を 全角 に,3.9518,0.2718,6.4096,13.1803,11.3929,540
538,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.7734,0.2763,9.0079,18.1621,11.4583,541
